model,domain,mean,min,max,std
sci_gen_opt_350m,MAGE_HDSR_train_sci,0.5078,0.4325,0.6275,0.03829424884952693
sci_gen_opt_6.7b,MAGE_HDSR_train_sci,0.452875,0.3725,0.52,0.02886177218986031
sci_gen_opt_iml,MAGE_HDSR_train_sci,0.40575,0.3275,0.47,0.026298356134053995
sci_gen_opt_iml,MAGE_HDSR_train_sci,0.43595,0.3625,0.4875,0.024976706319806433
sci_gen_t0_11b,MAGE_HDSR_train_sci,0.49979999999999997,0.43,0.5725,0.02821427749465604
sci_gen_t0_3b,MAGE_HDSR_train_sci,0.495,0.41,0.5625,0.024687440065136297
sci_gen_text-davinci-002_random,MAGE_HDSR_train_sci,0.434975,0.38,0.5025,0.0224606698902591
sci_gen_text-davinci-003_random,MAGE_HDSR_train_sci,0.4241,0.3675,0.49,0.024570862270731828
squad_13B_random_forest,MAGE_HDSR_train_squad,0.475125,0.3875,0.54,0.025003471981129153
squad_30B_random_forest,MAGE_HDSR_train_squad,0.4864,0.4075,0.5475,0.029564003501391736
squad_65B_random_forest,MAGE_HDSR_train_squad,0.505,0.4475,0.5725,0.027115074639898613
squad_7B_random_forest,MAGE_HDSR_train_squad,0.47105,0.4025,0.5625,0.027689156613002745
squad_bloom_7b_random,MAGE_HDSR_train_squad,0.44385,0.3775,0.555,0.034133243075164764
squad_flan_t5_base,MAGE_HDSR_train_squad,0.5179,0.46,0.595,0.02640190534905779
squad_flan_t5_large,MAGE_HDSR_train_squad,0.5131749999999999,0.44,0.565,0.024062877965023134
squad_flan_t5_small,MAGE_HDSR_train_squad,0.515675,0.4525,0.56,0.02449194621284576
squad_flan_t5_xl,MAGE_HDSR_train_squad,0.5101249999999999,0.4475,0.5775,0.026900900720904494
squad_flan_t5_xxl,MAGE_HDSR_train_squad,0.492775,0.4325,0.5675,0.0255492567446104
squad_GLM130B_random_forest,MAGE_HDSR_train_squad,0.47407499999999997,0.3975,0.5475,0.02953053333399007
